0,1,2,3,4,5,page,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"Junior Manager/MA
Supra/Spl - C1",JM 1-1 - 2025,"72,650",,,10,231,"1,360",,,18,"2,040",,,,,,,,,,,"122,970"
"Junior Manager/MA
Supra/Spl - C 2",JM1-2 - 2025,"74,010",,,10,231,"1,360",,,18,"2,040",,,,,,,,,,,"124,330"
Academic/Research Staff,AR 1 - 2025,"91,650",,,10,231,"2,480",,,15,"3,450",,,,,,,,,,,"168,200"
"Senior Academic/Research
Staff",AR 2 - 2025,"133,220",,,10,231,"3,600",,,,,,,,,,,,,,,"169,220"
Middle Manager - C 1,MM 1-1 - 2025,"91,690",,,10,231,"2,480",,,15,"3,450",,,,,,,,,,,"168,240"
Middle Manager - C 2,MM 1-2 - 2025,"94,170",,,10,231,"2,480",,,15,"3,450",,,,,,,,,,,"170,720"
Middle Manager - C 3,MM 1-3 - 2025,"96,650",,,10,231,"2,480",,,15,"3,450",,,,,,,,,,,"173,200"
Senior Manager - C 1-1,HM 1-1 - 2025,"140,640",,,15,231,"4,100",,,,,,,,,,,,,,,"202,140"
Senior Manager - C 1-2,HM 1-2 - 2025,"143,120",,,15,231,"4,100",,,,,,,,,,,,,,,"204,620"
Senior Manager - C 1-3,HM 1-3 - 2025,"152,500",,,15,231,"4,100",,,,,,,,,,,,,,,"214,000"
Senior Manager - C 2-1,HM 2-1 - 2025,"161,140",,,12,231,"4,850",,,,,,,,,,,,,,,"219,340"
Senior Manager - C 2-2,HM 2-2 - 2025,"163,620",,,12,231,"4,850",,,,,,,,,,,,,,,"221,820"
Senior Manager - C 2-3,HM 2-3 - 2025,"173,000",,,12,231,"4,850",,,,,,,,,,,,,,,"231,200"
Service Category,,Salary Code,Initial step,Years,1st Slab,232,Years,2nd Slab,Maximum,,,,,,,,,,,,,
Sri Lanka Judicial Service,"Class II
Grade II",JS 1-1 - 2025,"108,570",5,"2,400",232,5,"2,940","135,270",,,,,,,,,,,,,
,"Class II
Grade I",JS 1-2 - 2025,"131,300",10,"2,940",232,,,"160,700",,,,,,,,,,,,,
,"Class I
Grade II",JS 1-3 - 2025,"151,900",10,"3,900",232,-,-,"190,900",,,,,,,,,,,,,
,"Class I
Grade I",JS 1-4 - 2025,"176,000",10,"4,250",232,,-,"218,500",,,,,,,,,,,,,
,Special,JS 1-5 - 2025,"194,000",10,"4,500",232,-,-,"239,000",,,,,,,,,,,,,
High Court Judges,,JS 2 - 2025,"212,000",10,"4,950",232,-,-,"261,500",,,,,,,,,,,,,
Appeal Court Judges,,JS 3 - 2025,"239,000",5,"12,200",232,-,-,"300,000",,,,,,,,,,,,,
Puisine Judges /President CA,,JS 4 - 2025,"248,000",5,"12,600",232,-,-,"311,000",,,,,,,,,,,,,
Chief Justice,,JS 5 - 2025,"266,000",5,"13,500",232,-,-,"333,500",,,,,,,,,,,,,
Service Category,Salary Code,Initial step,Years,1st Slab,Maximum,233,,,,,,,,,,,,,,,,
Junior Assistant State Attorney,AGS 1 - 2025,"82,150",10,"2,400","106,150",233,,,,,,,,,,,,,,,,
State Counsel/Assistant State Attorney,AGS 2 - 2025,"131,300",10,"2,940","160,700",233,,,,,,,,,,,,,,,,
Senior State Counsel/ Senior Assistant State Attorney,AGS 3 - 2025,"151,900",10,"3,900","190,900",233,,,,,,,,,,,,,,,,
State Attorney/ Deputy Solicitor General,AGS 4 - 2025,"176,000",10,"4,250","218,500",233,,,,,,,,,,,,,,,,
Senior State Attorney/ Senior Deputy Solicitor General,AGS 5 - 2025,"194,000",10,"4,500","239,000",233,,,,,,,,,,,,,,,,
Additional Solicitor General,AGS 6 - 2025,"212,000",10,"4,950","261,500",233,,,,,,,,,,,,,,,,
Senior Assistant Solicitor General,AGS 7 - 2025,"239,000",10,"4,950","288,500",233,,,,,,,,,,,,,,,,
Solicitor General,AGS 8 - 2025,"248,000",10,"5,300","301,000",233,,,,,,,,,,,,,,,,
Attorney General,AGS 9 - 2025,"257,000",10,"5,300","310,000",233,,,,,,,,,,,,,,,,
Service Category,Salary Code,Initial step,Years,1st Slab,Maximum,233,,,,,,,,,,,,,,,,
,,,Years,,,233,,,,,,,,,,,,,,,,
Assistant Legal Draftsman,LDS 1 - 2025,"131,300",10,"2,940","160,700",233,,,,,,,,,,,,,,,,
Senior Assistant Legal Draftsman,LDS 2 - 2025,"151,900",10,"3,900","190,900",233,,,,,,,,,,,,,,,,
Deputy Legal Draftsman,LDS 3 - 2025,"176,000",10,"4,250","218,500",233,,,,,,,,,,,,,,,,
Additional Legal Draftsman,LDS 4 - 2025,"212,000",10,"4,950","261,500",233,,,,,,,,,,,,,,,,
Legal Draftsman,LDS 5 - 2025,"239,000",10,"4,950","288,500",233,,,,,,,,,,,,,,,,
Types of allowance/s,"Present Rate as at
31/03/2025",,Revised amount under basic,,,234,,,,,,,,,,,,,,,,
,,,salary structure-2025,,,234,,,,,,,,,,,,,,,,
University staff,,,,,,234,,,,,,,,,,,,,,,,
Academic allowance,,,,,,234,,,,,,,,,,,,,,,,
Lecturer (Probationary),144%,"82% + Rs.12,000 p.m.",,,,234,,,,,,,,,,,,,,,,
Lecturer,164%,"92% + Rs.16,500 p.m.",,,,234,,,,,,,,,,,,,,,,
Senior Lecturer II,189%,"104% + Rs.21,900 p.m.",,,,234,,,,,,,,,,,,,,,,
Senior Lecturer I,189%,"104% + Rs.24,400 p.m.",,,,234,,,,,,,,,,,,,,,,
Associate Professor,196%,"107% + Rs.32,000 p.m.",,,,234,,,,,,,,,,,,,,,,
Professor,203%,"110% + Rs.41,000 p.m.",,,,234,,,,,,,,,,,,,,,,
Senior Professor,209%,"112% + Rs.50,000 p.m.",,,,234,,,,,,,,,,,,,,,,
Non-Academic -MCA,,,,,,234,,,,,,,,,,,,,,,,
"Monthly
Compensation Allowance (MCA)",45%,"36% - Rs.330 p.m.
(Rs.330/- p.m. deducted
from the amount of 36%)",,,,234,,,,,,,,,,,,,,,,
Backlog allowance,20%,Terminated,,,,234,,,,,,,,,,,,,,,,
Research allowance,35%,"20% + Rs.1,000 p.m.",,,,234,,,,,,,,,,,,,,,,
Sri Lanka Police,,,,,,234,,,,,,,,,,,,,,,,
Special Allowance,40%,"22% + Rs.1,000 p.m.",,,,234,,,,,,,,,,,,,,,,
Judicial Services,,,,,,234,,,,,,,,,,,,,,,,
Personal Allowance,50%,28%+ Rs.800 p.m.,,,,234,,,,,,,,,,,,,,,,
Institutional specific allowance,1/3 of the basic salary,1/4 of the basic salary,,,,234,,,,,,,,,,,,,,,,
Institutional specific allowance,25% of the basic salary,20% of the basic salary,,,,234,,,,,,,,,,,,,,,,
Day’s holiday payment,1/20 of the basic salary,1/30 of the basic salary,,,,234,,,,,,,,,,,,,,,,
Phase,Description,Effective date,,,,235,,,,,,,,,,,,,,,,
01,"Revision of the pensions of all pensioners who
retired before 01st January 2018 corresponding to
the third stage salary scales on 01st January 2018 as
per the Public Administration Circular No. 03/2016",01st July 2025,,,,235,,,,,,,,,,,,,,,,
02,"Revision of the pensions of all pensioners who
retired before 01st January 2019 corresponding to
the fourth stage salary scales on 01st January 2019
as per the Public Administration Circular No.
03/2016",01st July 2026,,,,235,,,,,,,,,,,,,,,,
03,"Revision of the pensions of all pensioners who
retired before 01st January 2020 corresponding to
the fifth stage salary scales on 01st January 2020 as
per the Public Administration Circular No.
03/2016.",01st July 2027,,,,235,,,,,,,,,,,,,,,,
